"sample.id","lab.id.x","method","cas.number","analyte","result","units","dilution","result.reported.to","mdl","rl","non.detect","duplicate","location.name","treatment.name","method.name","event.type","event.count","flow.vol.liter","collected","received","flag"
"K-CT1-01-GB","HS23071021-03","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT1","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GB","HS23071021-03","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.064,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","CT1","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GB","HS23071021-03","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.581,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"Kerbel","CT1","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GB","HS23071021-03","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1300,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","CT1","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",5.1,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",5.1,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.66,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.66,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.055,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.055,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.106,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.106,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1320,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT1-01-GBH","HS23071021-04","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1320,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","CT1","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-LC","HS23071021-05","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",5.9,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","CT2","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-LC","HS23071021-05","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.59,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT2","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-LC","HS23071021-05","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT2","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-LC","HS23071021-05","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","CT2","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-LC","HS23071021-05","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",1.14,"mg/L",2,"RL",0.04,0.1,FALSE,FALSE,"Kerbel","CT2","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-LC","HS23071021-05","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1110,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","CT2","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GB","HS23071021-06","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",11,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GB","HS23071021-06","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.77,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GB","HS23071021-06","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GB","HS23071021-06","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GB","HS23071021-06","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",1.15,"mg/L",2,"RL",0.04,0.1,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GB","HS23071021-06","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1190,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GBH","HS23071021-07","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",8.7,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","CT2","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GBH","HS23071021-07","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.71,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT2","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GBH","HS23071021-07","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","CT2","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GBH","HS23071021-07","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","CT2","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GBH","HS23071021-07","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.965,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"Kerbel","CT2","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-CT2-01-GBH","HS23071021-07","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1280,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","CT2","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-LC","HS23071021-08","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",6.8,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-LC","HS23071021-08","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.79,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-LC","HS23071021-08","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-LC","HS23071021-08","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.057,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-LC","HS23071021-08","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.44,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-LC","HS23071021-08","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1210,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GB","HS23071021-09","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",7.5,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GB","HS23071021-09","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",9,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GB","HS23071021-09","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GB","HS23071021-09","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.07,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GB","HS23071021-09","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.838,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GB","HS23071021-09","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1200,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GBH","HS23071021-10","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",5.9,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GBH","HS23071021-10","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.84,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GBH","HS23071021-10","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GBH","HS23071021-10","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.053,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GBH","HS23071021-10","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.314,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT1-01-GBH","HS23071021-10","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1240,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-LC","HS23071021-11","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",3.9,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-LC","HS23071021-11","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.93,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-LC","HS23071021-11","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-LC","HS23071021-11","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-LC","HS23071021-11","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.992,"mg/L",2,"RL",0.04,0.1,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-LC","HS23071021-11","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1170,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","MT","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GB","HS23071021-12","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",10,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GB","HS23071021-12","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",9.09,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GB","HS23071021-12","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GB","HS23071021-12","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GB","HS23071021-12","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.888,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GB","HS23071021-12","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1180,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","MT","Grab Sample","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GBH","HS23071021-13","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",6.3,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GBH","HS23071021-13","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.8,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GBH","HS23071021-13","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GBH","HS23071021-13","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GBH","HS23071021-13","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.852,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-MT2-01-GBH","HS23071021-13","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1200,"mg/L",1,"RL",5,10,FALSE,FALSE,"Kerbel","MT","Hourly Grab","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-ST1-01-LC","HS23071021-14","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",6.6,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"Kerbel","ST1","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-ST1-01-LC","HS23071021-14","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.8,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","ST1","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
"K-ST1-01-LC","HS23071021-14","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,FALSE,FALSE,"Kerbel","ST1","Low-Cost Sampler","Outflow","Irrigation 1",NA,2023-07-18 16:00:00,"18 Jul 2023 13:35",NA
