location.name,date,event.count,treatment.name,duplicate,sample.id,analyte,result,units,non.detect,method,cas.number,mdl,rl,lab.id.x,dilution,result.reported.to,report.basis,percent.moisture,percent.solid,method.name,event.type,lab.id.y,matrix,collected,received,hold,flag
Kerbel,7/14/2022,Irr 3 rep 2,ST2,False,ST2-03-LC,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,ST2,True,ST2-03-LC-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,ST2,False,ST2-FF-03-GB,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,CT1,False,CT1-04-LC,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,CT1,True,CT1-04-LC-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,CT1,False,CT1-FF-04-GB,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,,False,KB-04-IN1,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,,True,KB-04-IN1-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,MT1,False,MT1-04-LC,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,MT1,True,MT1-04-LC-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
